President,Date,Ordernumber,Description
Ronald Reagan,28-Jan-81,Executive Order 12287,Decontrol of Crude Oil and Refined Petroleum Products
Ronald Reagan,29-Jan-81,Executive Order 12288,Termination of the Wage and Price Regulatory Program
Ronald Reagan,14-Feb-81,Executive Order 12289,Foreign Service Retirement and Disability System
Ronald Reagan,17-Feb-81,Executive Order 12290,Federal Exports and Excessive Regulation
Ronald Reagan,17-Feb-81,Executive Order 12291,Federal Regulation
Ronald Reagan,23-Feb-81,Executive Order 12292,Foreign Service Act of 1980
Ronald Reagan,23-Feb-81,Executive Order 12293,Foreign Service of the United States
Ronald Reagan,24-Feb-81,Executive Order 12294,Suspension of Litigation Against Iran
Ronald Reagan,24-Feb-81,Executive Order 12295,Nuclear Cooperation With EURATOM
Ronald Reagan,2-Mar-81,Executive Order 12296,President's Economic Policy Advisory Board
Ronald Reagan,12-Mar-81,Executive Order 12297,International Coffee Agreement 1976
Ronald Reagan,12-Mar-81,Executive Order 12298,Lake Tahoe Region
Ronald Reagan,17-Mar-81,Executive Order 12299,Presidential Advisory Board on Ambassadorial Appointments
Ronald Reagan,23-Mar-81,Executive Order 12300,Exceptions From the Competitive Service
Ronald Reagan,26-Mar-81,Executive Order 12301,Integrity and Efficiency in Federal Programs
Ronald Reagan,1-Apr-81,Executive Order 12302,Amending the Generalized System of Preferences
Ronald Reagan,8-Apr-81,Executive Order 12303,Presidential Advisory Committee on Federalism
Ronald Reagan,29-Apr-81,Executive Order 12304,Seal for the Panama Canal Commission
Ronald Reagan,5-May-81,Executive Order 12305,Termination of Certain Federal Advisory Committees
Ronald Reagan,1-Jun-81,Executive Order 12306,"Amendments to the Manual for Courts-Martial, United States, 1969 (Revised Edition)"
Ronald Reagan,4-Jun-81,Executive Order 12307,President's Commission on Hostage Compensation
Ronald Reagan,5-Jun-81,Executive Order 12308,Presidential Task Force on the Arts and Humanities
Ronald Reagan,9-Jun-81,Executive Order 12309,President's Economic Policy Advisory Board
Ronald Reagan,16-Jun-81,Executive Order 12310,President's Commission on Housing
